Age,Study_Hours,Attendance,Marks,Gender
24,8,61,98,Male
21,7,61,90,Female
22,9,87,61,Female
24,8,82,94,Female
20,5,96,61,Female
22,2,91,85,Female
22,5,92,69,Female
24,8,60,77,Male
19,9,78,77,Male
20,9,61,84,Male
24,1,85,90,Female
20,9,91,93,Female
20,7,65,47,Female
22,9,91,66,Female
21,8,63,66,Male
20,1,70,73,Male
23,8,76,60,Female
22,8,97,69,Male
19,3,83,72,Male
21,1,64,67,Female
23,8,93,86,Male
23,3,65,72,Female
19,3,81,44,Male
21,1,70,99,Female
22,5,75,87,Female
18,7,92,58,Female
21,9,68,43,Female
19,7,65,74,Male
23,9,75,88,Female
22,8,88,56,Female
21,2,62,83,Female
18,1,79,67,Male
18,7,95,69,Female
20,7,78,68,Male
20,8,85,85,Female
24,5,62,92,Male
19,3,78,45,Male
21,8,79,74,Female
21,6,91,99,Male
24,3,66,80,Female
23,1,92,76,Female
23,3,99,63,Female
24,5,98,68,Male
23,3,77,88,Male
20,1,99,85,Female
21,5,60,92,Female
24,7,70,70,Male
21,7,87,74,Female
18,9,84,99,Female
20,3,82,72,Female
22,7,90,91,Male
20,1,89,60,Male
24,4,94,71,Male
22,4,66,62,Female
18,5,75,72,Female
24,7,85,42,Female
19,7,61,57,Male
21,4,60,64,Female
18,7,71,81,Female
21,3,64,70,Female
23,6,96,93,Female
19,2,91,97,Male
19,9,68,42,Male
18,5,94,79,Female
19,6,78,85,Male
22,4,75,63,Male
19,7,62,89,Female
21,9,79,71,Female
21,7,83,86,Male
24,1,92,61,Female
21,1,83,62,Male
24,9,70,41,Female
21,9,67,66,Male
22,4,95,81,Female
24,9,97,41,Male
20,3,99,65,Male
23,7,79,56,Male
18,6,94,79,Female
21,8,84,72,Male
19,9,94,48,Male
21,5,84,82,Female
19,1,88,93,Female
23,3,77,87,Male
23,8,77,78,Male
23,6,61,68,Female
19,8,94,81,Female
21,9,75,94,Female
23,4,95,65,Female
22,1,92,74,Female
24,1,63,89,Male
19,4,92,64,Female
19,7,73,63,Male
21,2,80,52,Male
19,3,79,99,Male
19,1,67,97,Female
23,5,66,46,Male
21,1,62,96,Male
23,8,76,75,Female
24,1,92,84,Male
24,1,71,59,Male
